web-scraper-order,web-scraper-start-url,title,air_date,rating,score,description,image-src,link,link-href,length,episodes,episodes-href,seasons
"1708776669-1","https://www.imdb.com/search/title/?title_type=tv_series","The Rehearsal","2022–","TV-MA","8.5","Nathan Fielder gives people a chance to rehearse for their own lives in a world where nothing ever works out as expected.","https://m.media-amazon.com/images/M/MV5BNGI3ZTgwMzItMTA0ZC00NTFhLTkzNTQtMDBkMDc2NmVmY2NkXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_QL75_UX190_CR0,0,190,281_.jpg","1250. The Rehearsal","https://www.imdb.com/title/tt10802170/?ref_=sr_t_1250","30m","Episodes7","https://www.imdb.com/title/tt10802170/episodes?ref_=tt_eps_sm","2"
"1708776675-2","https://www.imdb.com/search/title/?title_type=tv_series","The Magnificent Century","2011–2014","","6.9","From 1520, follows Suleiman the Magnificent and his relatives from his great conquests to the ""Battle of Szigetvár"".","https://m.media-amazon.com/images/M/MV5BMTMxNjYzNTg0M15BMl5BanBnXkFtZTcwNzY1MzIxNg@@._V1_QL75_UY281_CR15,0,190,281_.jpg","1249. The Magnificent Century","https://www.imdb.com/title/tt1848220/?ref_=sr_t_1249","","Episodes139","https://www.imdb.com/title/tt1848220/episodes?ref_=tt_eps_sm","4"
"1708776681-3","https://www.imdb.com/search/title/?title_type=tv_series","Spidey and His Amazing Friends","2021–","TV-Y7","5.8","Follow Peter Parker, Gwen Stacy, and Miles Morales and their adventures as the young heroes team up with Hulk, Ms. Marvel, and Black Panther to take down foes like Rhino, Doc Oock, and Green Goblin.","https://m.media-amazon.com/images/M/MV5BMGE1NzQ1NzYtNWY5OC00OTQxLWFiZTAtZDNkNmVhNDk3NDgzXkEyXkFqcGdeQXVyMTU3NDg0OTgx._V1_QL75_UX190_CR0,2,190,281_.jpg","1248. Spidey and His Amazing Friends","https://www.imdb.com/title/tt10862280/?ref_=sr_t_1248","22m","Episodes93","https://www.imdb.com/title/tt10862280/episodes?ref_=tt_eps_sm","Unknown"
"1708776687-4","https://www.imdb.com/search/title/?title_type=tv_series","Everything Sucks!","2018","TV-14","7.5","In 1990s Oregon, members of a high school A/V club clash with the drama club.","https://m.media-amazon.com/images/M/MV5BY2IwOTRkYjctYmNhYS00NThlLThkZGEtZDQ1Y2IwZDlmZTBmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,0,190,281_.jpg","1247. Everything Sucks!","https://www.imdb.com/title/tt7078710/?ref_=sr_t_1247","30m","Episodes10","https://www.imdb.com/title/tt7078710/episodes?ref_=tt_eps_sm","1"
"1708776693-5","https://www.imdb.com/search/title/?title_type=tv_series","iCarly","2021–2023","TV-PG","6.7","A group of best friends creating a webcast while grappling with everyday problems and adventures.","https://m.media-amazon.com/images/M/MV5BY2FlYzMyZmUtNzFkMy00N2UxLTg2YjItN2RiZWQyOTUyZDI4XkEyXkFqcGdeQXVyMTMzOTQyOTk1._V1_QL75_UX190_CR0,6,190,281_.jpg","1246. iCarly","https://www.imdb.com/title/tt13657062/?ref_=sr_t_1246","26m","Episodes34","https://www.imdb.com/title/tt13657062/episodes?ref_=tt_eps_sm","3"
"1708776698-6","https://www.imdb.com/search/title/?title_type=tv_series","Homecoming","2018–2020","TV-MA","7.4","An anthology series centered around the mysterious Geist Group, an unconventional wellness company and their equally unorthodox program, the Homecoming Initiative.","https://m.media-amazon.com/images/M/MV5BMDc5OTgyMDYtZjk2YS00YzVkLWE5N2ItNjU4MzQ1OTgyMWI1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg","1245. Homecoming","https://www.imdb.com/title/tt7008682/?ref_=sr_t_1245","30m","Episodes17","https://www.imdb.com/title/tt7008682/episodes?ref_=tt_eps_sm","2"
"1708776705-7","https://www.imdb.com/search/title/?title_type=tv_series","Sword Art Online","2012–","TV-14","7.5","In the year 2022, thousands of people get trapped in a new virtual MMORPG and the lone wolf player, Kirito, works to escape.","https://m.media-amazon.com/images/M/MV5BYjY4MDU2YjMtNzY1MC00ODg1LWIwMzYtMWE5YTA3YTI4ZjMxXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UY281_CR6,0,190,281_.jpg","1244. Sword Art Online","https://www.imdb.com/title/tt2250192/?ref_=sr_t_1244","24m","Episodes100","https://www.imdb.com/title/tt2250192/episodes?ref_=tt_eps_sm","4"
"1708776710-8","https://www.imdb.com/search/title/?title_type=tv_series","Dirk Gently's Holistic Detective Agency","2016–2017","TV-14","8.2","Holistic detective Dirk Gently investigates cases involving the supernatural.","https://m.media-amazon.com/images/M/MV5BMTU3MDkzNzM5NF5BMl5BanBnXkFtZTgwMzEyNTgyMDI@._V1_QL75_UY281_CR1,0,190,281_.jpg","1243. Dirk Gently's Holistic Detective Agency","https://www.imdb.com/title/tt4047038/?ref_=sr_t_1243","1h","Episodes18","https://www.imdb.com/title/tt4047038/episodes?ref_=tt_eps_sm","2"
"1708776716-9","https://www.imdb.com/search/title/?title_type=tv_series","The Dangers in My Heart","2023–","TV-14","7.9","Fascinated by the macabre, Kyotaro fantasizes about acting on his twisted thoughts to the detriment of his classmates. His heart was dark until an encounter with Anna lit a spark within it in a classic tale of boy meets girl.","https://m.media-amazon.com/images/M/MV5BNjhlZDRhNWQtMjU5YS00NzgxLTkwM2QtNWRhMDhhODJlZTkzXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_QL75_UX190_CR0,2,190,281_.jpg","1242. The Dangers in My Heart","https://www.imdb.com/title/tt21423786/?ref_=sr_t_1242","23m","Episodes22","https://www.imdb.com/title/tt21423786/episodes?ref_=tt_eps_sm","2"
"1708776721-10","https://www.imdb.com/search/title/?title_type=tv_series","RuPaul's Drag Race UK vs the World","2022–","TV-14","7.0","Renowned queens from different Drag Race franchises compete in an international arena showcasing their country's finest drag in their bid to become the ultimate Drag Race Superstar.","https://m.media-amazon.com/images/M/MV5BM2E0MGFjZTctOWRiYi00ZDY1LWJkODItMTdjMWE2MjhlNGMwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY281_CR1,0,190,281_.jpg","1241. RuPaul's Drag Race UK vs the World","https://www.imdb.com/title/tt16968320/?ref_=sr_t_1241","1h 10m","Episodes14","https://www.imdb.com/title/tt16968320/episodes?ref_=tt_eps_sm","2"
"1708776727-11","https://www.imdb.com/search/title/?title_type=tv_series","Secret City","2016–2019","TV-MA","7.4","Beneath the placid facade of Canberra, amidst rising tension between China and America, senior political journalist Harriet Dunkley uncovers a secret city of interlocked conspiracies, putting innocent lives in danger including her own.","https://m.media-amazon.com/images/M/MV5BNjMwM2U1NDQtODBjOS00NDAxLWE0ZjMtZTRkNWQwZTFhZmRmXkEyXkFqcGdeQXVyNDA2Mzc0NjQ@._V1_QL75_UY281_CR4,0,190,281_.jpg","1240. Secret City","https://www.imdb.com/title/tt4976512/?ref_=sr_t_1240","49m","Episodes12","https://www.imdb.com/title/tt4976512/episodes?ref_=tt_eps_sm","2"
"1708776733-12","https://www.imdb.com/search/title/?title_type=tv_series","Absolutely Fabulous","1992–2012","TV-14","8.2","The wild misadventures of Edina ""Eddy"" Monsoon and her best friend Patsy Stone, who live in a nearly constant haze of drugged, drunken selfishness.","https://m.media-amazon.com/images/M/MV5BZTQ0MjQzMmEtYjE2My00ZTc4LWI3Y2YtMjg1N2NlOGI1ZjAzXkEyXkFqcGdeQXVyNjc4NTExMTk@._V1_QL75_UY281_CR5,0,190,281_.jpg","1239. Absolutely Fabulous","https://www.imdb.com/title/tt0105929/?ref_=sr_t_1239","45m","Episodes39","https://www.imdb.com/title/tt0105929/episodes?ref_=tt_eps_sm","6"
"1708776739-13","https://www.imdb.com/search/title/?title_type=tv_series","Broad City","2014–2019","TV-14","8.4","Broad City follows two women throughout their daily lives in New York City, making the smallest and mundane events hysterical and disturbing to watch all at the same time.","https://m.media-amazon.com/images/M/MV5BNTVjMGFhMmUtMTMwMS00OTE0LTlkODgtMzU0ZDZhY2U1NTliXkEyXkFqcGdeQXVyNjU2ODM5MjU@._V1_QL75_UX190_CR0,5,190,281_.jpg","1238. Broad City","https://www.imdb.com/title/tt2578560/?ref_=sr_t_1238","22m","Episodes50","https://www.imdb.com/title/tt2578560/episodes?ref_=tt_eps_sm","5"
"1708776745-14","https://www.imdb.com/search/title/?title_type=tv_series","The Man from U.N.C.L.E.","1964–1968","TV-PG","7.7","The two top Agents of the United Network Command for Law and Enforcement (U.N.C.L.E.) fight the enemies of peace, particularly the forces of T.H.R.U.S.H.","https://m.media-amazon.com/images/M/MV5BODQ0YWY1Y2UtZDRhOS00NDE0LTk2NTAtM2NkMjUwMTBhZDBjXkEyXkFqcGdeQXVyMTk0MjQ3Nzk@._V1_QL75_UY281_CR6,0,190,281_.jpg","1237. The Man from U.N.C.L.E.","https://www.imdb.com/title/tt0057765/?ref_=sr_t_1237","50m","Episodes105","https://www.imdb.com/title/tt0057765/episodes?ref_=tt_eps_sm","4"
"1708776750-15","https://www.imdb.com/search/title/?title_type=tv_series","Heavenly Delusion","2023","TV-MA","8.0","A boy grows up behind the safe walls of an apocalyptic Japan full of monsters. Tokyo flourishes as a paradise, while outside the walls of hell dangers lurk. However, a small group searches for heaven.","https://m.media-amazon.com/images/M/MV5BMjQ3NGE5NzItM2RlMi00YWE5LWJlOTAtYWRkMWRiY2Y0NmQ3XkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_QL75_UY281_CR4,0,190,281_.jpg","1236. Heavenly Delusion","https://www.imdb.com/title/tt22817632/?ref_=sr_t_1236","24m","Episodes13","https://www.imdb.com/title/tt22817632/episodes?ref_=tt_eps_sm","1"
"1708776756-16","https://www.imdb.com/search/title/?title_type=tv_series","V","1984–1985","TV-PG","7.3","A year after Liberation Day, courtesy of the red-dust bacteria, the humanoid, lizard-like aliens develop a resistance to the micro-organism and try to regain control of the Earth--only now, some humans are knowingly working with them.","https://m.media-amazon.com/images/M/MV5BMjE5NDU4NzMwMF5BMl5BanBnXkFtZTgwOTM3NDI1MDE@._V1_QL75_UY281_CR4,0,190,281_.jpg","1235. V","https://www.imdb.com/title/tt0086822/?ref_=sr_t_1235","1h","Episodes19","https://www.imdb.com/title/tt0086822/episodes?ref_=tt_eps_sm","1"
"1708776762-17","https://www.imdb.com/search/title/?title_type=tv_series","Castlevania: Nocturne","2023–","TV-MA","7.4","During the French Revolution, vampire hunter prodigy Richter Belmont fights to uphold his family's legacy and prevent the rise of a ruthless, power-hungry vampire.","https://m.media-amazon.com/images/M/MV5BN2M1OTVmZGYtYWNiZi00MmEyLWJkNDEtZDc3NzdmMTUxMDhlXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_QL75_UX190_CR0,0,190,281_.jpg","1234. Castlevania: Nocturne","https://www.imdb.com/title/tt14833612/?ref_=sr_t_1234","30m","Episodes8","https://www.imdb.com/title/tt14833612/episodes?ref_=tt_eps_sm","1"
"1708776768-18","https://www.imdb.com/search/title/?title_type=tv_series","Cowboy Bebop","2021","TV-MA","6.7","A ragtag crew of bounty hunters chases down the galaxy's most dangerous criminals. They'll save the world--for the right price.","https://m.media-amazon.com/images/M/MV5BM2FiZmEzOGItODI3Ni00MDk2LWJhZWQtNGM2ODhlMWMzODZhXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UY281_CR18,0,190,281_.jpg","1233. Cowboy Bebop","https://www.imdb.com/title/tt1267295/?ref_=sr_t_1233","58m","Episodes10","https://www.imdb.com/title/tt1267295/episodes?ref_=tt_eps_sm","1"
