web-scraper-order,web-scraper-start-url,title,air_date,rating,score,description,image-src
"1708596369-1","https://www.imdb.com/search/title/?title_type=tv_series","1. True Detective","2014–","TV-MA","8.9 (641K)","Anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.","https://m.media-amazon.com/images/M/MV5BNTEzMzBiNGYtYThiZS00MzBjLTk5ZWItM2FmMzU3Y2RjYTVlXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UX140_CR0,0,140,207_.jpg"
"1708596369-2","https://www.imdb.com/search/title/?title_type=tv_series","2. Halo","2022–","TV-14","7.2 (79K)","With the galaxy on the brink of destruction, Master Chief John-117 leads his team of Spartans against the alien threat known as the Covenant.","https://m.media-amazon.com/images/M/MV5BOTZkNjllMzYtY2ZiNi00YTdkLTg0OTEtZTgzOGY5Njc3NmNiXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX140_CR0,0,140,207_.jpg"
"1708596369-3","https://www.imdb.com/search/title/?title_type=tv_series","3. Mr. & Mrs. Smith","2024–","TV-MA","6.9 (23K)","Two strangers land jobs with a spy agency that offers them a life of espionage, wealth, and travel. The catch: new identities in an arranged marriage.","https://m.media-amazon.com/images/M/MV5BMDE0M2YyM2UtODRmNC00YjAyLWIwMjktOTAwMDBiYjBhMGZmXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UX140_CR0,0,140,207_.jpg"
"1708596369-4","https://www.imdb.com/search/title/?title_type=tv_series","4. Fargo","2014–2024","TV-MA","8.9 (415K)","Various chronicles of deception, intrigue, and murder in and around frozen Minnesota. All of these tales mysteriously lead back one way or another to Fargo, North Dakota.","https://m.media-amazon.com/images/M/MV5BMjNlMTIxNDEtY2U3OC00ZGFlLTgxNzEtZDU3NTdiZTAzN2MxXkEyXkFqcGdeQXVyMTU1ODIwMTM1._V1_QL75_UY207_CR13,0,140,207_.jpg"
"1708596369-5","https://www.imdb.com/search/title/?title_type=tv_series","5. Tracker","2024–","TV-14","6.6 (1.5K)","Colter Shaw travels the country in his old-school RV, helping police and private citizens solve crimes and locate missing persons--until his latest case changes everything.","https://m.media-amazon.com/images/M/MV5BMTBhMzljMTgtMTc2MS00Y2UwLTk5ZjEtNjFlZDg1ZTMwYTA1XkEyXkFqcGdeQXVyMjYwNDA2MDE@._V1_QL75_UY207_CR1,0,140,207_.jpg"
"1708596369-6","https://www.imdb.com/search/title/?title_type=tv_series","6. Yellowstone","2018–","TV-MA","8.7 (211K)","A ranching family in Montana faces off against others encroaching on their land.","https://m.media-amazon.com/images/M/MV5BOGFiZjU5NGEtNTAwNS00ZjI2LTg0YTktNjg0ODFlM2E0NGVhXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_QL75_UX140_CR0,1,140,207_.jpg"
"1708596369-7","https://www.imdb.com/search/title/?title_type=tv_series","7. Feud","2017–","TV-MA","8.4 (24K)","An anthology series centering on famous feuds, including Bette Davis and Joan Crawford, and Truman Capote and the New York elite.","https://m.media-amazon.com/images/M/MV5BZmQwYzM2YmQtNjQ5YS00NTdlLThmZjYtYjJhNTg1NzFkYTJiXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UY207_CR13,0,140,207_.jpg"
"1708596369-8","https://www.imdb.com/search/title/?title_type=tv_series","8. Game of Thrones","2011–2019","TV-MA","9.2 (2.3M)","Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for a millennia.","https://m.media-amazon.com/images/M/MV5BN2IzYzBiOTQtNGZmMi00NDI5LTgxMzMtN2EzZjA1NjhlOGMxXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UX140_CR0,1,140,207_.jpg"
"1708596369-9","https://www.imdb.com/search/title/?title_type=tv_series","9. The Tourist","2022–2024","TV-MA","7.0 (25K)","When a man wakes up in the Australian outback with no memory, he must use the few clues he has to discover his identity before his past catches up with him.","https://m.media-amazon.com/images/M/MV5BZTIzMTBkNjItMTM4Zi00Zjc4LWIyOTMtODNmYzFhYzk5NjBhXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX140_CR0,21,140,207_.jpg"
"1708596369-10","https://www.imdb.com/search/title/?title_type=tv_series","10. Hazbin Hotel","2019–","TV-MA","7.8 (17K)","In an attempt to find a non-violent alternative for reducing Hell's overpopulation, the daughter of Lucifer opens a rehabilitation hotel that offers a group of misfit demons a chance at redemption.","https://m.media-amazon.com/images/M/MV5BYzNkMzc5OTYtNDk2MS00NGI0LThjZGYtYjdmNWI4OTExZWFjXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UY207_CR13,0,140,207_.jpg"
"1708596369-11","https://www.imdb.com/search/title/?title_type=tv_series","11. The Bear","2022–","TV-MA","8.6 (198K)","A young chef from the fine dining world returns to Chicago to run his family's sandwich shop.","https://m.media-amazon.com/images/M/MV5BYmM4MjBkNGMtZjE5Zi00ZDMwLWE5MjYtN2M0MTM2YTQ2MmNlXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UX140_CR0,0,140,207_.jpg"
"1708596369-12","https://www.imdb.com/search/title/?title_type=tv_series","12. Young Sheldon","2017–2024","TV-PG","7.6 (96K)","Meet a child genius named Sheldon Cooper (already seen as an adult in The Big Bang Theory (2007)) and his family. Some unique challenges face Sheldon, who is socially impaired.","https://m.media-amazon.com/images/M/MV5BZTlmYjk0ZTItODNhMC00YmIyLWExZWEtYjk0YWQzMGNhOTZmXkEyXkFqcGdeQXVyMTY0Njc2MTUx._V1_QL75_UY207_CR14,0,140,207_.jpg"
"1708596369-13","https://www.imdb.com/search/title/?title_type=tv_series","13. Reacher","2022–","TV-MA","8.1 (200K)","Itinerant former military policeman Jack Reacher solves crimes and metes out his own brand of street justice. Based on the novels by Lee Child.","https://m.media-amazon.com/images/M/MV5BOWRiZjYwZjUtYmIwMy00ZDUzLTk2NjktZmJkZjRkNjU0MDE3XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX140_CR0,2,140,207_.jpg"
"1708596369-14","https://www.imdb.com/search/title/?title_type=tv_series","14. Curb Your Enthusiasm","2000–2024","TV-MA","8.8 (142K)","Larry David stars as an over-the-top version of himself in this comedy series that shows how seemingly trivial details of day-to-day life can precipitate a catastrophic chain of events.","https://m.media-amazon.com/images/M/MV5BZDY1ZGM4OGItMWMyNS00MDAyLWE2Y2MtZTFhMTU0MGI5ZDFlXkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_QL75_UX140_CR0,0,140,207_.jpg"
"1708596369-15","https://www.imdb.com/search/title/?title_type=tv_series","15. NCIS","2003–","TV-14","7.8 (161K)","Follows the Major Case Response Team (MCRT) from the Naval Criminal Investigative Service (NCIS), as they get to the bottom of criminal cases connected to Navy and Marine Corps personnel.","https://m.media-amazon.com/images/M/MV5BNjQyMjkzMzYtZGZjMC00OWQzLTkwOTYtNjMzZDk2Y2RmZDE1XkEyXkFqcGdeQXVyMTE0NzY5OTk5._V1_QL75_UX140_CR0,1,140,207_.jpg"
"1708596369-16","https://www.imdb.com/search/title/?title_type=tv_series","16. The Sopranos","1999–2007","TV-MA","9.2 (462K)","New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.","https://m.media-amazon.com/images/M/MV5BNmU3MjkzZWQtOTk1Ni00OTNiLWJhMmMtNmEyN2JjZjUzZDUyXkEyXkFqcGdeQXVyNDIyNjA2MTk@._V1_QL75_UY207_CR3,0,140,207_.jpg"
"1708596369-17","https://www.imdb.com/search/title/?title_type=tv_series","17. Suits","2011–2019","TV-14","8.4 (471K)","On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers.","https://m.media-amazon.com/images/M/MV5BNmVmMmM5ZmItZDg0OC00NTFiLWIxNzctZjNmYTY5OTU3ZWU3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY207_CR1,0,140,207_.jpg"
"1708596369-18","https://www.imdb.com/search/title/?title_type=tv_series","18. The Rookie","2018–","TV-14","8.0 (66K)","Starting over isn't easy, especially for John Nolan who, after a life-altering incident, is pursuing his dream of joining the LAPD. As their oldest rookie, he's met with skepticism from those who see him as just a walking midlife crisis.","https://m.media-amazon.com/images/M/MV5BOTY5OWFmMzAtZTIxYi00NGM4LTk3YWMtY2MyYzMwOWVhZWM0XkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_QL75_UY207_CR13,0,140,207_.jpg"
"1708596369-19","https://www.imdb.com/search/title/?title_type=tv_series","19. The Walking Dead","2010–2022","TV-MA","8.1 (1.1M)","Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.","https://m.media-amazon.com/images/M/MV5BNzI5MjUyYTEtMTljZC00NGI5LWFhNWYtYjY0ZTQ5YmEzMWRjXkEyXkFqcGdeQXVyMTY3MDE5MDY1._V1_QL75_UX140_CR0,1,140,207_.jpg"
"1708596369-20","https://www.imdb.com/search/title/?title_type=tv_series","20. House","2004–2012","TV-14","8.7 (504K)","Using a crack team of doctors and his wits, an antisocial maverick doctor specializing in diagnostic medicine does whatever it takes to solve puzzling cases that come his way.","https://m.media-amazon.com/images/M/MV5BMDA4NjQzN2ItZDhhNC00ZjVlLWFjNTgtMTEyNDQyOGNjMDE1XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UY207_CR1,0,140,207_.jpg"
"1708596369-21","https://www.imdb.com/search/title/?title_type=tv_series","21. Grey's Anatomy","2005–","TV-14","7.6 (338K)","A drama centered on the personal and professional lives of five surgical interns and their supervisors.","https://m.media-amazon.com/images/M/MV5BODA2Mjk0N2MtNGY0Mi00ZWFjLTkxODEtZDFjNDg4ZDliMGVmXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_QL75_UX140_CR0,0,140,207_.jpg"
"1708596369-22","https://www.imdb.com/search/title/?title_type=tv_series","22. The White Lotus","2021–2025","TV-MA","8.0 (200K)","The exploits of various guests and employees of a luxury resort over the span of a week.","https://m.media-amazon.com/images/M/MV5BYjdjNzBmYjEtM2Y5My00YjI0LWJjY2YtOGQ4MjNkNmE2MDVjXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UX140_CR0,0,140,207_.jpg"
"1708596369-23","https://www.imdb.com/search/title/?title_type=tv_series","23. Breaking Bad","2008–2013","TV-MA","9.5 (2.1M)","A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.","https://m.media-amazon.com/images/M/MV5BYmQ4YWMxYjUtNjZmYi00MDQ1LWFjMjMtNjA5ZDdiYjdiODU5XkEyXkFqcGdeQXVyMTMzNDExODE5._V1_QL75_UX140_CR0,1,140,207_.jpg"
"1708596369-24","https://www.imdb.com/search/title/?title_type=tv_series","24. Resident Alien","2021–","TV-14","8.1 (47K)","A crash-landed alien takes on the identity of a small-town Colorado doctor and slowly begins to wrestle with the moral dilemma of his secret mission on Earth.","https://m.media-amazon.com/images/M/MV5BM2FjM2M4NWMtM2FlMi00ZTg0LTlmNzYtMTk4NDI1ZTU3ZGJlXkEyXkFqcGdeQXVyMjQ4ODcxNTM@._V1_QL75_UX140_CR0,1,140,207_.jpg"
"1708596369-25","https://www.imdb.com/search/title/?title_type=tv_series","25. Succession","2018–2023","TV-MA","8.8 (263K)","The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.","https://m.media-amazon.com/images/M/MV5BODY5YjA3ZDgtM2EwYy00ZGVmLWFhNWItMTMxMWRkMWFiOTlkXkEyXkFqcGdeQXVyMTMzNDExODE5._V1_QL75_UX140_CR0,1,140,207_.jpg"
"1708596369-26","https://www.imdb.com/search/title/?title_type=tv_series","26. The Boys","2019–","TV-MA","8.7 (633K)","A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.","https://m.media-amazon.com/images/M/MV5BZGUyNzM0M2EtMjA1Zi00MWJhLWI2ZWEtNzE3OTgyMTBkN2IzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UY207_CR13,0,140,207_.jpg"
"1708596369-27","https://www.imdb.com/search/title/?title_type=tv_series","27. Tokyo Vice","2022–","TV-MA","8.0 (37K)","A Western journalist working for a publication in Tokyo takes on one of the city's most powerful crime bosses.","https://m.media-amazon.com/images/M/MV5BYzFhZWFkMjgtMWJhZC00Zjg1LTk0Y2QtMGY5ZjUyMmNmNmEyXkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_QL75_UX140_CR0,0,140,207_.jpg"
"1708596369-28","https://www.imdb.com/search/title/?title_type=tv_series","28. Law & Order: Special Victims Unit","1999–","TV-14","8.1 (122K)","This series follows the Special Victims Unit, a specially trained squad of detectives in the New York City Police Department that investigate sexually related crimes.","https://m.media-amazon.com/images/M/MV5BMjU2OWExZTAtMzg0My00NjFjLThiM2YtNmI1Y2RkY2M0ZGVkXkEyXkFqcGdeQXVyMTUwMzM5ODkz._V1_QL75_UX140_CR0,0,140,207_.jpg"
"1708596369-29","https://www.imdb.com/search/title/?title_type=tv_series","29. The New Look","2024–","TV-MA","7.1 (1.1K)","Explores the rise of fashion designer Christian Dior, as he dethrones Coco Chanel and helps return spirit and life to the world with his iconic imprint of beauty and influence.","https://m.media-amazon.com/images/M/MV5BZTQxNzRmMTAtMzkzOC00YjhhLThkNWQtN2M1Mjg3OTA4OWZjXkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_QL75_UX140_CR0,1,140,207_.jpg"
"1708596369-30","https://www.imdb.com/search/title/?title_type=tv_series","30. Percy Jackson and the Olympians","2023–","TV-PG","7.2 (30K)","Demigod Percy Jackson leads a quest across America to prevent a war among the Olympian gods.","https://m.media-amazon.com/images/M/MV5BMTYyNGUyNWMtMWFlMy00NThiLTk3YjItMWE2MzMzNmQwZTU3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UY207_CR13,0,140,207_.jpg"
"1708596369-31","https://www.imdb.com/search/title/?title_type=tv_series","31. Avatar: The Last Airbender","2024–","TV-14","8.5 (66)","A young boy known as the Avatar must master the four elemental powers to save the world, and fight against an enemy bent on stopping him.","https://m.media-amazon.com/images/M/MV5BMTViNTY2MjMtYmUwOC00ZGYxLThjOWEtYjNjZWU3MTYwYzZmXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_QL75_UY207_CR13,0,140,207_.jpg"
"1708596369-32","https://www.imdb.com/search/title/?title_type=tv_series","32. A Killer Paradox","2024–","18+","7.3 (2.6K)","When one accidental killing leads to another, an ordinary young man finds himself stuck in an endless cat-and-mouse chase with a shrewd detective.","https://m.media-amazon.com/images/M/MV5BZjZhM2IyZTktNjFiZS00NWFlLTg0NzMtMzIxZTcxNjRkOGE4XkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_QL75_UX140_CR0,0,140,207_.jpg"
"1708596369-33","https://www.imdb.com/search/title/?title_type=tv_series","33. Expats","2023–2024","TV-MA","5.9 (3.4K)","A look at the personal and professional lives of a tight-knit group of expatriates living in Hong Kong.","https://m.media-amazon.com/images/M/MV5BZGIxOTAyYzMtZGFlZi00OWFlLWE0YTItYTNjMTVkYTU0YjE0XkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UX140_CR0,0,140,207_.jpg"
"1708596369-34","https://www.imdb.com/search/title/?title_type=tv_series","34. Shameless","2011–2021","TV-MA","8.5 (279K)","A scrappy, feisty, fiercely loyal Chicago family makes no apologies.","https://m.media-amazon.com/images/M/MV5BZDgxNjQ2MjMtMjk2Yi00M2Q2LWI0ZDktOGM1NWI5YWUzMjk4XkEyXkFqcGdeQXVyOTA3MTMyOTk@._V1_QL75_UX140_CR0,1,140,207_.jpg"
"1708596369-35","https://www.imdb.com/search/title/?title_type=tv_series","35. The Office","2005–2013","TV-14","9.0 (698K)","A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.","https://m.media-amazon.com/images/M/MV5BMDNkOTE4NDQtMTNmYi00MWE0LWE4ZTktYTc0NzhhNWIzNzJiXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_QL75_UX140_CR0,1,140,207_.jpg"
"1708596369-36","https://www.imdb.com/search/title/?title_type=tv_series","36. Death and Other Details","2024–","TV-MA","6.9 (4.1K)","Detective Rufus Cotesworth and his protégé, Imogene, dig for the truth on a Mediterranean ocean liner where everyone is hiding something.","https://m.media-amazon.com/images/M/MV5BZWZiYzZjYzAtZjQ4My00MjEyLWJhNWUtYWQ5ZGI4NDVkNTVkXkEyXkFqcGdeQXVyMzUwNDIxMjQ@._V1_QL75_UX140_CR0,0,140,207_.jpg"
